mros-visit1-aa3363
Whole Night (hrs): 11.441667		SleepStage2 (hrs): 3.933333
SpindleNo,Frequency,Duration,Amplitude,Time_of_night
1,15.644444,0.703120,57.831693,0.002333
2,9.941748,0.402340,146.311131,0.003111
3,14.961039,0.601560,136.118105,0.004028
4,15.058824,0.796880,158.594644,0.004750
5,10.893617,1.101600,116.273747,0.005528
6,10.000000,0.500000,59.365225,0.007000
7,16.000000,0.500000,52.185855,0.009028
8,11.712418,0.597660,223.765927,0.009806
9,12.427184,0.402340,31.677729,0.020194
10,11.712418,0.597660,80.155642,0.021889
11,14.301676,0.699220,56.420233,0.028806
12,12.000000,0.500000,60.059510,0.042639
13,12.000000,1.500000,75.516899,0.048889
14,11.712418,0.597660,51.163500,0.049667
15,11.333333,1.500000,76.234073,0.059917
16,12.000000,0.500000,55.008774,0.062472
17,11.082251,0.902340,59.159228,0.068028
18,10.840391,1.199200,75.593194,0.068944
19,12.000000,1.000000,65.308614,0.070417
20,13.000000,2.000000,59.990845,0.093917
21,11.636364,0.601560,48.195621,0.094583
22,12.427184,0.402340,40.657664,0.095472
23,14.606607,1.300800,68.772412,0.096472
24,13.298701,0.601560,89.669642,0.105750
25,11.636364,0.601560,66.758221,0.110944
26,12.000000,0.500000,60.158694,0.119694
27,13.298701,0.601560,49.416342,0.134500
28,11.000000,1.000000,134.287022,0.135778
29,12.190476,0.902340,116.235599,0.140806
30,9.941748,0.402340,59.563592,0.145889
31,11.712418,0.597660,61.501488,0.152028
32,12.871508,0.699220,47.890440,0.154222
33,9.974026,0.300780,36.209659,0.165750
34,11.130435,0.898440,91.767758,0.185444
35,11.712418,0.597660,55.916686,0.187722
36,9.974026,0.300780,40.466926,0.198250
37,11.661605,1.800800,129.938201,0.207722
38,13.069069,1.300800,150.049592,0.208333
39,12.427184,0.402340,31.967651,0.210611
40,11.441341,0.699220,97.512779,0.211667
41,12.427184,0.402340,59.861143,0.224222
42,13.298701,0.300780,43.450065,0.240694
43,10.666667,1.500000,206.286717,0.243750
44,9.974026,0.601560,56.328679,0.275417
45,11.294118,0.796880,101.831083,0.278361
46,12.487805,0.800780,143.610285,0.282139
47,13.298701,0.300780,40.093080,0.316028
48,12.427184,0.402340,60.143435,0.336583
49,13.298701,0.300780,46.715496,0.339167
50,13.586592,1.398400,181.757839,0.344472
51,11.441341,0.699220,59.845884,0.360556
52,14.000000,0.500000,55.306325,0.385139
53,13.356522,0.898440,117.586023,0.393000
54,11.082251,0.902340,83.604181,0.400889
55,12.549020,0.398440,56.488899,0.403611
56,10.000000,0.500000,95.696956,0.404611
57,12.427184,0.402340,40.154116,0.407833
58,10.011173,0.699220,115.197986,0.421806
59,13.298701,0.300780,42.847333,0.431528
60,13.736585,0.800780,73.990997,0.451361
61,11.636364,0.601560,159.937438,0.455972
62,10.726257,1.398400,121.461814,0.459056
63,12.000000,0.500000,49.103532,0.466083
64,11.377778,0.703120,50.209812,0.466361
65,13.298701,0.300780,45.510033,0.467611
66,11.333333,1.500000,90.852216,0.473889
67,10.762763,1.300800,192.919814,0.477583
68,14.985366,0.800780,106.996262,0.506806
69,10.762763,1.300800,135.782406,0.516750
70,10.573913,1.796900,137.186236,0.534889
71,11.712418,0.597660,47.829404,0.535861
72,10.000000,1.000000,122.674907,0.556722
73,10.932384,1.097700,201.411460,0.597250
74,11.564682,1.902300,169.115740,0.597611
75,11.000000,1.000000,118.051423,0.603861
76,10.840391,1.199200,174.868391,0.609778
77,12.000000,1.000000,141.214618,0.618583
78,14.301676,0.699220,59.884031,0.619861
79,11.294118,0.796880,140.077821,0.627250
80,12.487805,0.800780,106.767376,0.632694
81,13.879518,1.296900,72.838941,0.634056
82,12.800000,0.703120,64.049744,0.634972
83,13.298701,0.300780,40.527962,0.635278
84,11.636364,1.203100,112.428473,0.635667
85,11.441341,0.699220,116.067750,0.636250
86,14.912621,0.402340,40.756847,0.640389
87,15.016760,1.398400,116.693370,0.642083
88,12.871508,0.699220,58.289464,0.643556
89,12.917431,1.703100,168.413825,0.653583
90,13.000000,1.000000,63.271534,0.656694
91,12.000000,0.500000,62.668803,0.657194
92,9.990244,0.800780,88.876173,0.657500
93,11.712418,0.597660,53.017472,0.659889
94,14.469565,0.898440,103.906310,0.663056
95,15.058824,0.398440,41.992828,0.670861
96,11.239024,0.800780,63.492790,0.672778
97,14.000000,0.500000,47.455558,0.674056
98,13.385621,0.597660,50.881209,0.674750
99,11.636364,1.203100,59.418631,0.675250
100,10.944238,2.101600,119.974060,0.676861
101,12.549020,0.398440,41.123064,0.680583
102,9.990244,0.800780,135.446708,0.682917
103,10.840391,1.199200,65.117876,0.684444
104,15.731844,0.699220,90.310521,0.699250
105,11.441341,0.699220,56.130312,0.699528
106,11.200000,2.500000,128.686961,0.700972
107,14.000000,0.500000,38.284886,0.703083
108,10.000000,0.500000,40.871290,0.706917
109,12.000000,0.500000,80.704967,0.717917
110,14.000000,0.500000,65.491722,0.749028
111,12.000000,0.500000,73.884184,0.758917
112,12.000000,0.500000,66.010529,0.759139
113,13.385621,0.597660,49.576562,0.784056
114,11.294118,0.796880,106.462196,0.785861
115,11.770115,1.699200,148.149844,0.788278
116,14.000000,0.500000,49.485008,0.789000
117,14.000000,0.500000,60.074769,0.789472
118,12.508143,1.199200,134.622721,0.790889
119,14.576512,1.097700,110.460060,0.809750
120,14.000000,1.500000,106.080720,0.814167
121,14.261838,1.402300,132.364385,0.815333
122,10.944238,2.101600,106.042573,0.821806
123,11.441341,0.699220,67.872129,0.823111
124,10.000000,0.500000,54.726482,0.829833
125,9.990244,0.800780,100.030518,0.831500
126,12.508143,1.199200,98.649577,0.841861
127,12.300300,1.300800,137.903410,0.861472
128,11.239024,0.800780,65.362020,0.878389
129,11.564682,1.902300,155.176623,0.879639
130,12.243478,0.898440,141.100175,0.881056
131,11.082251,0.902340,187.846189,0.882556
132,11.061728,1.898400,109.071489,0.889056
133,13.298701,0.300780,44.831006,0.891639
134,11.674267,1.199200,142.992294,0.903389
135,12.871508,0.699220,112.306401,0.915972
136,11.441341,0.699220,53.818570,0.927167
137,14.985366,1.601600,213.717861,0.928194
138,11.239024,0.800780,62.851911,0.945917
139,11.441341,0.699220,67.551690,0.952000
140,11.257329,2.398400,212.573434,0.955861
141,9.941748,0.402340,61.989776,0.990389
142,11.441341,0.699220,88.242924,0.992444
143,12.000000,0.500000,60.662242,0.997361
144,10.000000,0.500000,57.152667,1.010417
145,14.406926,0.902340,148.950942,1.190194
146,12.000000,1.000000,133.737697,1.197972
147,10.017391,0.898440,102.327001,1.216528
148,14.193018,1.902300,131.143664,1.223722
149,12.549020,0.398440,57.259480,1.242361
150,11.239024,0.800780,64.538033,1.248333
151,12.000000,0.500000,80.888075,1.258083
152,11.441341,0.699220,60.181582,1.262417
153,11.712418,0.597660,50.843061,1.272667
154,12.549020,0.398440,97.192340,1.280917
155,10.500000,2.000000,154.436561,1.285361
156,12.549020,0.398440,45.243000,1.290444
157,11.441341,0.699220,63.225757,1.291056
158,12.000000,1.000000,92.317082,1.299111
159,11.441341,0.699220,88.632029,1.303472
160,14.606607,1.300800,98.519875,1.304000
161,12.487805,0.800780,82.345312,1.305694
162,14.301676,0.699220,52.361334,1.309389
163,12.427184,0.402340,61.814298,1.315611
164,11.441341,0.699220,59.822995,1.316528
165,10.039216,0.597660,61.364157,1.316972
166,11.409471,1.402300,113.282979,1.322056
167,11.441341,0.699220,80.590524,1.324917
168,12.549020,0.398440,54.634928,1.325694
169,11.000000,1.000000,60.509651,1.326722
170,11.239024,0.800780,125.925078,1.329389
171,15.058824,0.796880,65.461204,1.332250
172,10.039216,0.597660,124.284733,1.332722
173,11.130435,0.898440,63.889525,1.356417
174,14.000000,0.500000,56.153201,1.357694
175,10.762763,1.300800,162.348363,1.362222
176,13.736585,0.800780,53.627832,1.377139
177,11.441341,0.699220,55.230030,1.377583
178,15.058824,0.796880,47.623407,1.380306
179,10.932384,1.097700,103.646906,1.384667
180,11.674267,1.199200,61.173419,1.386444
181,12.427184,0.402340,44.266423,1.399500
182,12.871508,0.699220,52.315557,1.401333
183,11.239024,0.800780,126.237888,1.409917
184,9.974026,0.601560,114.297704,1.412611
185,11.843416,1.097700,143.228809,1.412944
186,12.549020,0.398440,50.507362,1.415000
187,10.800000,2.500000,159.670405,1.416389
188,10.008230,1.898400,114.633402,1.422306
189,11.441341,0.699220,61.516747,1.428500
190,11.239024,0.800780,53.948272,1.432222
191,12.549020,0.398440,62.500954,1.433500
192,12.115226,1.898400,141.107805,1.436000
193,9.974026,0.300780,35.828183,1.436806
194,10.805195,1.203100,101.625086,1.449833
195,12.000000,1.000000,67.643244,1.450194
196,12.000000,1.000000,57.831693,1.451556
197,12.549020,0.398440,52.674144,1.451944
198,11.082251,0.902340,74.341955,1.452611
199,9.974026,0.601560,63.553826,1.455667
200,11.636364,0.601560,58.937972,1.456528
201,11.130435,0.898440,82.749676,1.460306
202,10.000000,0.500000,72.007324,1.468278
203,12.000000,0.500000,43.854429,1.474167
204,13.298701,0.601560,60.448615,1.474583
205,10.000000,0.500000,50.171664,1.475889
206,9.941748,0.402340,42.809186,1.476583
207,10.039216,0.398440,57.160296,1.478333
208,10.000000,0.500000,48.020142,1.484417
209,11.441341,1.398400,142.214084,1.486944
210,12.549020,0.398440,38.536660,1.488056
211,11.000000,1.000000,57.824063,1.489028
212,12.427184,0.402340,37.384604,1.489361
213,12.000000,0.500000,60.440986,1.492917
214,10.039216,0.398440,39.642939,1.495639
215,12.300300,1.300800,53.910124,1.496056
216,11.441341,0.699220,59.472038,1.502944
217,11.712418,0.597660,52.796216,1.504111
218,11.712418,0.597660,75.417716,1.504389
219,12.000000,0.500000,62.767987,1.508611
220,11.636364,0.601560,58.457313,1.510111
221,14.175896,1.199200,58.052949,1.516944
222,10.865874,2.300800,178.049897,1.526778
223,12.000000,0.500000,56.260014,1.530472
224,11.755102,2.296900,150.713359,1.530722
225,11.636364,0.601560,81.437400,1.532361
226,12.000000,0.500000,57.366293,1.532611
227,12.000000,1.000000,63.691157,1.533472
228,11.239024,0.800780,76.928359,1.535667
229,12.508143,1.199200,79.575799,1.536972
230,10.762763,1.300800,61.264973,1.537472
231,11.770115,1.699200,88.227665,1.538222
232,11.239024,0.800780,64.377813,1.539806
233,14.469565,0.898440,48.706798,1.542806
234,14.912621,0.402340,44.197757,1.543444
235,10.000000,1.000000,62.027924,1.544194
236,10.666667,1.500000,140.466926,1.548583
237,12.000000,0.500000,94.071870,1.550722
238,12.641975,1.898400,80.445563,1.553361
239,11.712418,0.597660,53.604944,1.559611
240,11.441341,0.699220,109.109636,1.561389
241,12.243478,0.898440,41.908904,1.561944
242,13.298701,0.300780,44.861524,1.573139
243,12.000000,0.500000,52.468147,1.573833
244,14.406926,0.902340,64.957656,1.574361
245,11.636364,0.601560,74.914168,1.579417
246,11.294118,0.796880,74.311437,1.587389
247,9.941748,0.402340,55.306325,1.595889
248,10.593103,1.699200,177.882048,1.598944
249,11.564682,1.902300,119.470512,1.600611
250,14.000000,1.000000,130.006867,1.603528
251,12.709220,1.101600,95.071336,1.609500
252,13.108434,1.296900,102.433814,1.609889
253,13.385621,0.597660,41.771572,1.612667
254,10.000000,0.500000,53.620203,1.615444
255,10.964618,2.097700,143.427176,1.615917
256,11.000000,1.000000,128.793774,1.616722
257,13.298701,0.902340,50.568399,1.621167
258,11.239024,0.800780,106.713970,1.622917
259,11.300509,2.300800,158.106355,1.623667
260,10.039216,0.597660,72.297246,1.631750
261,11.636364,1.203100,67.208362,1.635389
262,10.006515,1.199200,127.008469,1.640056
263,11.239024,0.800780,85.526818,1.640806
264,12.000000,0.500000,59.830625,1.642167
265,14.301676,0.699220,62.165255,1.643361
266,12.549020,0.398440,48.355840,1.644333
267,11.441341,0.699220,67.620356,1.648639
268,11.895911,2.101600,67.963684,1.651500
269,12.487805,0.800780,58.976120,1.652583
270,11.106291,1.800800,80.560006,1.654639
271,11.333333,1.500000,95.338369,1.660639
272,12.487805,0.800780,108.758679,1.661111
273,9.974026,0.300780,53.788052,1.665639
274,12.487805,0.800780,59.891661,1.670778
275,11.409471,1.402300,89.631495,1.678250
276,11.130435,0.898440,76.188296,1.682917
277,11.636364,0.601560,131.197070,1.683444
278,11.239024,0.800780,174.067292,1.685083
279,11.441341,0.699220,60.646983,1.691444
280,11.181609,1.699200,121.049821,1.695694
281,11.000000,2.000000,146.280613,1.703833
282,12.000000,0.500000,63.317311,1.707750
283,12.427184,0.402340,46.478981,1.711167
284,10.893617,1.101600,141.374838,1.716222
285,11.441341,0.699220,122.674907,1.816000
286,11.377778,0.703120,51.354238,1.817194
287,9.974026,0.300780,51.895933,1.819556
288,11.181609,1.699200,82.673381,1.820778
289,12.000000,0.500000,41.329061,1.826972
290,12.243478,0.898440,58.289464,1.830083
291,9.974026,0.601560,132.303349,1.857917
292,9.974026,0.300780,33.752956,1.914417
293,9.974026,0.300780,39.986267,1.926083
294,14.301676,0.699220,84.275578,2.021556
295,11.377778,0.703120,61.921111,2.222333
296,12.549020,0.398440,41.893645,2.253833
297,9.974026,0.300780,42.191196,2.364444
298,11.239024,1.601600,152.971695,2.372500
299,11.294118,0.796880,87.762264,2.397944
300,11.674267,1.199200,106.576638,2.403556
301,9.990244,0.800780,94.781415,2.429111
302,12.190476,0.902340,113.550011,2.430667
303,10.431239,2.300800,155.870909,2.442861
304,12.243478,0.898440,128.023194,2.448611
305,10.011173,0.699220,84.184024,2.458333
306,11.441341,1.398400,106.202792,2.464333
307,11.082251,0.902340,76.234073,2.465611
308,10.840391,1.199200,125.024796,2.484194
309,14.193018,1.902300,146.578164,2.499083
310,12.156425,1.398400,110.811017,2.500833
311,12.871508,0.699220,62.195773,2.501278
312,11.294118,0.796880,137.132830,2.508222
313,12.772234,1.800800,128.969253,2.512056
314,13.617021,1.101600,71.656367,2.516111
315,12.190476,0.902340,63.645380,2.517056
316,14.152846,2.402300,134.073396,2.517333
317,12.300300,1.300800,76.813916,2.524583
318,12.000000,0.500000,63.515679,2.534083
319,13.385621,0.597660,57.839322,2.534750
320,11.863415,1.601600,152.521553,2.541250
321,13.000000,2.000000,120.004578,2.543278
322,11.200000,2.500000,154.428931,2.551194
323,9.941748,0.402340,47.920958,2.552472
324,14.961039,0.601560,49.599451,2.559861
325,13.641208,2.199200,132.219425,2.562083
326,11.564682,1.902300,56.778820,2.571722
327,14.000000,0.500000,46.257725,2.572278
328,14.000000,0.500000,47.295338,2.574722
329,12.000000,0.500000,43.488212,2.578889
330,13.108434,1.296900,130.533303,2.584611
331,12.508143,2.398400,112.748913,2.586000
332,11.409471,1.402300,62.935836,2.587194
333,12.487805,0.800780,68.818189,2.588861
334,13.327549,1.800800,82.520790,2.593861
335,13.298701,0.902340,62.394141,2.595472
336,13.736585,0.800780,62.203403,2.603000
337,15.432624,1.101600,62.302586,2.605333
338,11.564682,1.902300,146.219577,2.605806
339,12.000000,0.500000,43.656062,2.608000
340,10.865874,2.300800,88.822766,2.609361
341,10.726257,1.398400,78.896773,2.610361
342,11.239024,0.800780,76.256962,2.619167
343,11.266504,1.597700,93.224994,2.620722
344,12.000000,1.000000,75.738155,2.625250
345,12.000000,1.500000,92.339971,2.629389
346,13.298701,0.300780,50.926986,2.630806
347,11.636364,0.601560,64.217594,2.633111
348,11.674267,1.199200,87.266346,2.640361
349,11.000000,1.000000,71.503777,2.642028
350,11.712418,0.597660,55.756466,2.642528
351,11.712418,0.597660,61.913481,2.645861
352,13.879518,1.296900,141.161212,2.654056
353,10.400000,2.500000,71.801328,2.656000
354,11.000000,1.000000,106.271458,2.658444
355,12.243478,0.898440,73.327230,2.664306
356,11.636364,0.601560,49.828336,2.667333
357,12.871508,1.398400,73.136492,2.679472
358,14.301676,0.699220,48.126955,2.688639
359,13.586592,1.398400,124.444953,2.689583
360,13.000000,2.000000,221.080339,2.692194
361,12.358621,1.699200,64.263371,2.714500
362,14.000000,0.500000,54.581521,2.724556
363,12.000000,1.000000,89.173724,2.732500
364,12.871508,1.398400,102.754253,2.746111
365,16.000000,0.500000,49.172198,2.749444
366,14.301676,0.699220,63.828489,2.758694
367,12.000000,0.500000,47.249561,2.759306
368,14.961039,0.601560,65.667201,2.765000
369,14.000000,0.500000,69.367514,2.765778
370,14.000000,0.500000,41.428244,2.768972
371,11.636364,0.601560,51.232166,2.770250
372,13.356522,0.898440,66.117342,2.816556
373,10.840391,1.199200,135.645075,2.831056
374,14.000000,0.500000,49.004349,2.865278
375,13.298701,0.300780,38.422217,2.955389
376,13.298701,0.300780,33.188373,2.962083
377,14.961039,0.601560,50.484474,3.001306
378,12.549020,0.796880,116.739147,3.002944
379,11.000000,1.000000,112.512398,3.003250
380,12.549020,0.796880,120.180056,3.050306
381,10.893617,1.101600,68.131533,3.162694
382,11.636364,0.601560,58.991379,3.184167
383,14.961039,0.601560,51.743343,3.187889
384,14.000000,0.500000,66.689555,3.243833
385,11.239024,0.800780,50.675212,3.250889
386,12.400000,2.500000,82.589456,3.252806
387,12.549020,0.398440,52.582589,3.273278
388,15.000000,1.000000,85.000381,3.288833
389,11.674267,2.398400,79.095140,3.290083
390,11.239024,0.800780,47.425040,3.307639
391,14.000000,0.500000,54.703593,3.310833
392,12.400000,2.500000,73.136492,3.311000
393,12.487805,0.800780,67.025254,3.320417
394,14.000000,0.500000,59.304189,3.334944
395,12.800000,0.703120,74.776837,3.336500
396,14.000000,0.500000,48.317693,3.339611
397,13.327549,1.800800,74.219883,3.342056
398,11.061728,1.898400,88.830396,3.352250
399,13.837838,1.300800,90.577554,3.356611
400,13.298701,0.300780,31.860838,3.361306
401,12.000000,0.500000,33.394369,3.376917
402,13.298701,0.300780,27.473869,3.383028
403,12.549020,0.398440,40.718700,3.383417
404,11.636364,0.601560,60.624094,3.384361
405,13.298701,0.300780,37.491417,3.386583
406,11.441341,0.699220,55.039292,3.387500
407,12.549020,0.398440,57.854582,3.393278
408,14.912621,0.402340,31.151293,3.396778
409,12.371747,2.101600,176.798657,3.400472
410,11.770115,1.699200,104.654002,3.407694
411,10.011173,0.699220,49.897002,3.418972
412,14.469565,0.898440,77.584497,3.420917
413,12.000000,0.500000,41.222248,3.422306
414,14.301676,0.699220,49.889372,3.429083
415,14.912621,0.402340,32.951858,3.430389
416,13.617021,1.101600,98.550393,3.434278
417,11.441341,0.699220,80.842298,3.443833
418,14.985366,0.800780,53.177691,3.444528
419,13.298701,0.601560,68.383307,3.448889
420,11.000000,1.000000,53.482872,3.460944
421,15.058824,0.398440,71.839475,3.461528
422,11.564682,1.902300,80.460822,3.480194
423,11.712418,0.597660,52.826734,3.485444
424,11.674267,1.199200,66.163119,3.486444
425,10.039216,0.398440,42.519265,3.489611
426,12.243478,0.898440,66.201266,3.524306
427,10.893617,1.101600,88.746471,3.534222
428,11.000000,1.000000,69.245441,3.536889
429,12.549020,0.398440,36.911574,3.573972
430,15.058824,0.398440,40.253300,3.577806
431,12.243478,0.898440,67.391470,3.581250
432,14.000000,0.500000,44.342718,3.590000
