mros-visit1-aa2486
Whole Night (hrs): 10.341667		SleepStage2 (hrs): 4.775000
SpindleNo,Frequency,Duration,Amplitude,Time_of_night
1,14.000000,0.500000,44.869154,2.786222
2,13.356522,0.898440,68.123903,2.788694
3,13.385621,0.597660,46.692607,2.789944
4,13.298701,0.300780,27.038987,2.799972
5,14.000000,0.500000,38.361181,2.801167
6,14.000000,0.500000,51.079576,2.802639
7,12.427184,0.402340,30.487526,2.814833
8,14.000000,0.500000,35.584039,2.816778
9,13.385621,0.597660,65.239948,2.818694
10,14.912621,0.402340,32.677195,2.821778
11,14.301676,0.699220,42.214084,2.832500
12,12.549020,0.398440,38.071260,2.850639
13,13.385621,0.597660,50.064851,2.854250
14,13.803922,0.796880,52.437629,2.863222
15,12.549020,0.398440,58.075837,2.868083
16,14.000000,0.500000,43.373770,2.875944
17,13.617021,1.101600,65.430686,2.887194
18,14.301676,0.699220,55.947204,2.898250
19,13.385621,0.597660,54.657816,2.898972
20,12.000000,0.500000,33.066300,2.902139
21,12.487805,0.800780,44.617380,2.903250
22,13.385621,0.597660,38.261997,2.906694
23,14.000000,0.500000,40.779736,2.909389
24,13.356522,0.898440,42.687114,2.911667
25,13.298701,0.300780,25.642786,2.923333
26,13.736585,0.800780,48.691539,2.925639
27,13.298701,0.300780,33.470665,2.929278
28,13.000000,1.000000,45.456626,2.937361
29,13.298701,0.601560,32.036316,2.940194
30,12.427184,0.402340,44.739452,2.943111
31,13.298701,0.300780,26.703288,2.946444
32,14.000000,0.500000,37.293050,2.953444
33,12.000000,0.500000,31.464103,2.956472
34,15.058824,0.398440,25.848783,2.959056
35,13.385621,0.597660,56.031128,2.960028
36,13.298701,0.300780,19.302663,2.964806
37,12.549020,0.796880,46.082246,2.981139
38,13.298701,0.601560,49.355306,2.985833
39,14.000000,0.500000,25.963226,2.993750
40,14.000000,0.500000,49.317159,3.004694
41,12.871508,0.699220,50.400549,3.015778
42,13.298701,0.902340,41.641871,3.017417
43,13.356522,0.898440,74.074922,3.018750
44,13.298701,0.300780,27.138170,3.033250
45,13.298701,0.300780,27.496757,3.038139
46,13.385621,0.597660,68.917372,3.050778
47,12.871508,0.699220,41.054398,3.061556
48,11.712418,0.597660,42.969406,3.072806
49,12.549020,0.398440,38.086519,3.076833
50,13.298701,0.300780,26.230259,3.078167
51,15.058824,0.398440,39.093614,3.101972
52,12.871508,0.699220,37.064164,3.115694
53,15.058824,0.398440,33.379110,3.119194
54,13.356522,0.898440,55.214771,3.139750
55,13.298701,0.300780,32.089723,3.148028
56,13.356522,0.898440,65.506981,3.152389
57,14.000000,0.500000,39.162280,3.173944
58,14.912621,0.402340,43.663691,3.176028
59,14.000000,0.500000,69.192035,3.225111
60,13.298701,0.300780,27.534905,3.279722
61,14.000000,0.500000,40.604257,3.290889
62,12.549020,0.398440,36.797131,3.293417
63,13.298701,0.300780,36.446174,3.294833
64,12.549020,0.398440,33.035782,3.312028
65,14.912621,0.402340,44.220645,3.316722
66,13.803922,0.796880,34.058137,3.324889
67,13.298701,0.300780,29.060807,3.339444
68,13.298701,0.300780,21.599145,3.341361
69,13.298701,0.601560,42.030976,3.346944
70,13.385621,0.597660,45.990692,3.348000
71,12.427184,0.402340,35.629816,3.354639
72,12.427184,0.402340,27.641718,3.362889
73,12.427184,0.402340,29.541466,3.363444
74,14.912621,0.402340,38.887617,3.364139
75,12.549020,0.398440,36.873426,3.367389
76,12.000000,0.500000,37.544823,3.370472
77,14.301676,0.699220,38.681621,3.387667
78,12.549020,0.398440,40.474556,3.388833
79,15.058824,0.398440,30.464637,3.406056
80,14.000000,0.500000,38.040742,3.409278
81,12.000000,0.500000,39.406424,3.413806
82,12.549020,0.398440,26.153964,3.416389
83,13.298701,0.300780,25.856413,3.416861
84,12.000000,0.500000,34.378576,3.417556
85,14.301676,0.699220,42.801556,3.428250
86,12.549020,0.398440,33.813993,3.432222
87,13.298701,0.300780,25.474937,3.434306
88,12.427184,0.402340,35.065232,3.470472
89,12.549020,0.398440,30.930037,3.636667
90,14.912621,0.402340,35.172045,3.661306
91,11.636364,0.601560,42.519265,3.769861
92,13.298701,0.300780,30.136568,3.832444
93,13.298701,0.300780,27.664607,3.956722
94,13.298701,0.300780,32.944228,4.143861
95,13.385621,0.597660,31.326772,4.143972
96,11.636364,0.601560,44.457160,4.164694
97,12.000000,0.500000,42.587930,4.227194
98,12.549020,0.398440,28.145266,4.229389
99,13.385621,0.597660,44.342718,4.230083
100,14.000000,0.500000,35.309377,4.260278
101,14.912621,0.402340,38.086519,4.267556
102,13.298701,0.902340,55.237659,4.286083
103,12.549020,0.796880,46.326390,4.297667
104,13.298701,0.601560,31.555657,4.313944
105,11.636364,0.601560,40.024414,4.331083
106,14.912621,0.402340,34.653239,4.347333
107,12.427184,0.402340,31.197070,4.358806
108,12.549020,0.398440,33.455406,4.360444
109,12.549020,0.398440,41.176471,4.386833
110,13.298701,0.300780,28.068971,4.403889
111,13.298701,0.300780,29.945830,4.412778
112,12.549020,0.398440,38.727398,4.414389
113,12.871508,0.699220,26.115816,4.455167
114,13.298701,0.601560,44.808118,4.461083
115,13.298701,0.300780,40.108339,4.472972
116,11.636364,0.601560,59.784848,4.539694
117,13.298701,0.300780,28.969253,4.550222
118,12.427184,0.402340,24.864576,4.558028
119,13.298701,0.300780,35.835813,4.637222
120,13.298701,0.300780,32.959487,4.717778
121,13.298701,0.300780,27.328908,4.944528
122,14.000000,0.500000,27.977417,4.945167
123,13.356522,0.898440,55.649653,4.958222
124,12.549020,0.398440,30.502785,4.960139
125,13.298701,0.601560,33.539330,4.962361
126,14.000000,0.500000,34.859236,5.012361
127,13.298701,0.300780,20.004578,5.045778
128,14.000000,0.500000,48.722057,5.046944
129,13.298701,0.300780,29.167620,5.068167
130,12.427184,0.402340,42.000458,5.101722
131,14.000000,0.500000,34.996567,5.129694
132,13.298701,0.300780,29.991608,5.362444
133,13.298701,0.300780,23.918517,5.371667
134,13.356522,0.898440,41.229877,5.379250
135,13.298701,0.300780,29.983978,5.389222
136,13.736585,0.800780,38.620584,5.392611
137,13.298701,0.300780,22.560464,5.400694
138,14.000000,0.500000,30.251011,5.426194
139,14.000000,0.500000,41.184100,5.438250
140,14.000000,0.500000,38.002594,5.452139
141,12.549020,0.398440,30.533303,5.502667
142,12.000000,1.000000,67.895018,5.505139
143,13.736585,0.800780,65.415427,5.537333
144,14.000000,0.500000,35.835813,5.561833
145,13.298701,0.300780,31.982910,5.601639
146,12.549020,0.398440,32.043946,5.729056
147,13.298701,0.300780,25.062943,5.737194
148,13.298701,0.300780,20.691234,5.751222
149,13.298701,0.300780,33.325704,5.764944
150,12.549020,0.398440,35.324636,5.794111
151,13.298701,0.300780,26.108186,5.816306
152,15.058824,0.398440,61.509117,5.839472
153,13.385621,0.597660,47.432670,5.863556
154,15.058824,0.398440,33.623255,5.880222
155,12.427184,0.402340,30.281529,5.884500
156,11.441341,0.699220,39.848936,5.887250
157,12.427184,0.402340,29.755093,5.939222
158,13.356522,0.898440,34.225986,5.998639
159,13.385621,0.597660,40.283818,6.076750
160,14.961039,0.601560,26.291295,6.079861
161,14.301676,0.699220,30.632486,6.107444
162,16.623377,0.300780,28.534371,6.131056
163,14.000000,0.500000,27.832456,6.159083
164,14.222222,0.703120,33.707179,6.179278
165,13.298701,0.300780,24.391547,6.185667
166,13.385621,0.597660,29.251545,6.188778
167,14.912621,0.402340,30.945296,6.191167
168,14.000000,0.500000,34.561685,6.209389
169,13.803922,0.796880,46.883345,6.242667
170,12.549020,0.398440,27.512016,6.244611
171,15.058824,0.398440,33.897917,6.267778
172,13.298701,0.300780,36.011292,6.316944
173,14.000000,0.500000,36.514839,6.389361
174,13.298701,0.300780,31.914244,6.392639
175,15.058824,0.398440,36.087587,6.413361
176,9.974026,0.300780,33.020523,6.427056
177,12.549020,0.398440,38.063630,6.428611
178,14.000000,0.500000,25.940337,6.428806
179,15.058824,0.398440,29.297322,6.466944
180,13.385621,0.597660,40.230411,6.471000
181,12.871508,0.699220,34.058137,6.501528
182,12.549020,0.398440,35.492485,6.504306
183,13.298701,0.300780,27.481498,6.510667
184,12.000000,0.500000,36.720836,6.515694
185,12.427184,0.402340,37.933928,6.516861
186,9.974026,0.300780,34.256504,6.521944
187,13.298701,0.300780,21.316854,6.542611
188,15.058824,0.398440,24.887465,6.668194
189,12.549020,0.398440,30.960555,6.669111
190,14.912621,0.402340,31.395438,6.682333
191,13.736585,0.800780,48.325322,6.710806
192,14.912621,0.402340,30.357824,6.726306
193,12.549020,0.398440,41.886015,6.752722
194,14.222222,0.703120,53.673610,6.767194
195,12.427184,0.402340,28.679332,6.778389
196,13.298701,0.300780,33.333333,6.780972
197,14.961039,0.601560,44.365606,6.812333
198,15.058824,0.398440,38.727398,6.824194
199,13.298701,0.300780,34.493019,6.874583
200,12.549020,0.398440,32.860304,7.082444
201,13.803922,0.796880,64.095521,7.315167
202,12.549020,0.398440,44.663157,7.402111
203,14.912621,0.402340,33.630884,7.472750
204,14.000000,0.500000,34.843977,7.514083
205,14.000000,0.500000,40.207523,7.520972
206,14.301676,0.699220,39.757382,7.557806
207,12.549020,0.398440,34.332799,7.561111
208,13.385621,0.597660,46.868086,7.593500
209,13.298701,0.300780,25.429160,7.594444
210,12.549020,0.398440,31.219959,7.605917
211,13.298701,0.300780,34.813458,7.608806
212,14.000000,0.500000,31.792172,7.609667
213,13.298701,0.300780,27.168688,7.646250
214,13.298701,0.300780,34.905013,7.740528
215,14.000000,0.500000,36.369879,7.791472
216,12.427184,0.402340,30.693523,7.868444
217,13.298701,0.300780,28.442817,7.972028
218,14.000000,0.500000,34.157321,7.997694
219,13.298701,0.601560,46.494240,8.244139
220,13.298701,0.300780,33.463035,8.314694
221,12.427184,0.402340,30.876631,8.321167
222,14.000000,0.500000,37.865263,8.334250
223,13.298701,0.300780,24.406806,8.552556
224,15.058824,0.398440,28.259709,8.607389
225,13.803922,0.796880,54.024567,8.637806
226,13.298701,0.300780,30.083162,8.707611
227,13.298701,0.601560,39.642939,8.711639
228,13.736585,0.800780,30.937667,8.851361
229,15.058824,0.398440,40.024414,8.872167
230,12.549020,0.398440,33.508812,8.903083
231,13.298701,0.300780,33.241779,8.934722
232,13.298701,0.300780,29.602502,9.032750
233,14.000000,0.500000,38.658732,9.043111
234,13.298701,0.300780,26.016632,9.361389
235,13.298701,0.300780,28.519112,9.365750
236,14.912621,0.402340,28.137636,9.378528
237,14.301676,0.699220,34.760052,9.382000
238,13.803922,0.796880,39.681086,9.515583
239,13.298701,0.300780,29.480430,9.956889
240,14.912621,0.402340,31.105516,10.020750
