mros-visit1-aa2671
Whole Night (hrs): 10.653889		SleepStage2 (hrs): 2.383333
SpindleNo,Frequency,Duration,Amplitude,Time_of_night
1,12.487805,0.800780,107.209888,0.028278
2,11.441341,0.699220,68.085756,0.052500
3,12.000000,0.500000,44.495308,0.057583
4,12.549020,0.398440,54.688334,0.081000
5,12.549020,0.398440,45.227741,0.111139
6,13.298701,0.601560,48.943313,0.111389
7,14.985366,0.800780,65.163653,0.120639
8,12.243478,0.898440,143.327993,0.128972
9,10.000000,0.500000,54.161898,0.132361
10,12.871508,0.699220,62.653544,0.132778
11,12.871508,0.699220,69.001297,0.249917
12,11.377778,0.703120,63.447013,0.285111
13,13.385621,0.597660,51.895933,0.286694
14,13.617021,1.101600,58.770123,0.287778
15,10.932384,1.097700,94.728008,0.290778
16,14.000000,0.500000,55.642023,0.291389
17,13.356522,0.898440,61.455711,0.292222
18,13.298701,0.601560,47.684443,0.295111
19,14.000000,0.500000,62.623026,0.298417
20,10.039216,0.398440,39.543755,0.299028
21,12.000000,0.500000,53.276875,0.300028
22,9.974026,0.300780,36.972610,0.300361
23,12.549020,0.398440,42.381933,0.302028
24,14.000000,0.500000,54.833295,0.303722
25,11.441341,0.699220,57.457847,0.307167
26,12.000000,0.500000,49.538415,0.307444
27,12.000000,0.500000,42.305638,0.308528
28,10.840391,1.199200,109.300374,0.314583
29,12.000000,0.500000,56.137942,0.316750
30,13.736585,0.800780,49.828336,0.318806
31,13.069069,1.300800,53.566796,0.320222
32,12.427184,0.402340,49.073014,0.323111
33,14.000000,0.500000,47.463188,0.334944
34,14.912621,0.402340,44.632639,0.338444
35,14.985366,0.800780,103.356985,0.339861
36,12.243478,0.898440,91.020066,0.344944
37,12.427184,0.402340,40.764477,0.353306
38,11.636364,0.601560,60.578317,0.353750
39,12.800000,0.703120,50.926986,0.361361
40,13.665480,1.097700,121.362631,0.362444
41,14.301676,0.699220,80.849928,0.381056
42,11.441341,0.699220,83.749142,0.382722
43,13.385621,0.597660,59.632258,0.386278
44,14.000000,0.500000,65.720607,0.386500
45,11.636364,0.601560,63.797971,0.387000
46,9.974026,0.601560,64.461738,0.389028
47,14.748971,1.898400,70.214389,0.389722
48,12.000000,0.500000,57.885100,0.394083
49,10.000000,0.500000,57.267109,0.395056
50,12.871508,0.699220,68.696117,0.402833
51,11.130435,0.898440,68.863966,0.408333
52,13.298701,1.203100,81.414511,0.427472
53,14.000000,0.500000,47.440299,0.436306
54,11.082251,0.902340,66.575113,0.438583
55,11.801418,1.101600,55.748836,0.445611
56,13.298701,0.601560,65.789273,0.448472
57,13.342020,1.199200,63.210498,0.454472
58,11.636364,0.601560,50.865949,0.455667
59,15.058824,0.597660,51.895933,0.466333
60,14.000000,0.500000,46.547646,0.472639
61,12.000000,0.500000,40.703441,0.476361
62,13.342020,1.199200,70.946822,0.478194
63,10.011173,0.699220,80.460822,0.480472
64,12.156425,1.398400,113.794156,0.482250
65,13.736585,0.800780,62.432288,0.483667
66,9.990244,0.800780,67.910277,0.494694
67,11.441341,0.699220,53.643091,0.496556
68,11.039014,1.902300,139.711604,0.500944
69,14.301676,0.699220,68.436713,0.502167
70,13.548747,1.402300,82.833600,0.503806
71,12.487805,0.800780,129.526207,0.566222
72,14.000000,0.500000,53.215839,0.580333
73,10.000000,0.500000,62.516213,0.581111
74,13.617021,1.101600,88.479438,0.625194
75,12.156425,1.398400,82.749676,0.669861
76,13.736585,0.800780,81.559472,0.679361
77,10.000000,0.500000,72.693980,0.680556
78,11.441341,0.699220,64.156558,0.684889
79,10.762763,1.300800,130.174716,0.696583
80,12.300300,1.300800,85.114824,0.711389
81,12.871508,1.398400,71.129931,0.716389
82,14.193018,1.902300,175.577935,0.725889
83,11.441341,0.699220,65.499351,0.743750
84,13.837838,1.300800,63.637751,0.775361
85,12.000000,0.500000,75.173571,0.779389
86,14.000000,1.000000,93.041886,0.783194
87,14.985366,0.800780,74.402991,0.793333
88,9.941748,0.402340,45.098039,0.795889
89,11.636364,0.601560,65.148394,0.796639
90,12.427184,0.402340,50.431067,0.796917
91,13.356522,0.898440,86.266880,0.800361
92,12.427184,0.402340,65.911345,0.806778
93,13.298701,0.601560,56.420233,0.807000
94,15.009772,1.199200,56.649119,0.807389
95,10.000000,0.500000,37.125200,0.808444
96,13.298701,0.300780,35.500114,0.809972
97,12.000000,1.500000,61.211566,0.812139
98,12.487805,0.800780,79.552911,0.818389
99,10.000000,0.500000,50.179294,0.819333
100,9.974026,0.902340,131.616693,0.819694
101,12.000000,1.000000,48.958572,0.821583
102,13.298701,0.601560,61.181048,0.822694
103,14.606607,1.300800,60.143435,0.823000
